city,link,name,location,eventName
belo-horizonte-mg,https://www.sympla.com.br/lacra-a-purpurina--2-edicao__117169,Amadoria,sympla,Lacra a purpurina | 2ª edição
belo-horizonte-mg,https://www.sympla.com.br/foliaelvis__117178,Clube Elvis,sympla,FOLIAELVIS!!!!!!!!!!
belo-horizonte-mg,https://www.sympla.com.br/palestras-fintechs__112512,SINDISFAC MG,sympla,Palestras FINTECHs
belo-horizonte-mg,https://www.sympla.com.br/bar-imaginario-emergelab-efe-godoy__117229,EMERGE_LAB,sympla,Bar Imaginário: EmergeLab +Efe Godoy
belo-horizonte-mg,https://www.sympla.com.br/linkedin-business---marketing-negocios-e-anuncios-na-plataforma__117246,Locawork,sympla, Linkedin Business - Marketing, Negócios e Anúncios na plataforma.
belo-horizonte-mg,https://www.sympla.com.br/fdt-14s2-pre-carnaval__115371,TURMA 14S2,sympla,FDT 14S2: PRÉ-CARNAVAL
belo-horizonte-mg,https://www.sympla.com.br/ingles-para-negocios__117390,Cristiane Ferreira ,sympla,Inglês para Negócios 
belo-horizonte-mg,https://www.sympla.com.br/pre-carnaval-estacio-floresta---calourada-2017__113961,Alunos Estácio Floresta - Marlon Almeida  ,sympla,PRÉ-CARNAVAL ESTÁCIO FLORESTA - CALOURADA 2017
belo-horizonte-mg,https://www.sympla.com.br/i-simposio-de-cardiopatias-congenitas__113600,LAPACI, LANPH, LACARP E LACC,sympla,I SIMPÓSIO DE CARDIOPATIAS CONGÊNITAS
belo-horizonte-mg,https://www.sympla.com.br/revival---nova-vida-para-a-missao__117468,Associação Mineira Central,sympla,Revival - Nova vida para a missão
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__115929,Park Paintball,sympla,Park Paintball 
belo-horizonte-mg,https://www.sympla.com.br/xii-curso-de-atualizacao-em-praticas-de-vacinacao---imunologica-vacinas-humanas__115850,Igor Barbosa,sympla,XII Curso de Atualização em Práticas de Vacinação - Imunológica Vacinas Humanas
belo-horizonte-mg,https://www.sympla.com.br/organizacoes-exponenciais__114540,Fabiano Birchal,sympla,"ORGANIZAÇÕES EXPONENCIAIS".
belo-horizonte-mg,https://www.sympla.com.br/menu-saudavel-com-kelly-varoto__115949,Escola Alma Chef,sympla,Menu Saudável com Kelly Varoto
belo-horizonte-mg,https://www.sympla.com.br/iii-encontro-de-formacao---oficina-de-circo__116224,Instituto Arcor Brasil ,sympla,III Encontro de Formação - Oficina de Circo
belo-horizonte-mg,https://www.sympla.com.br/palestra-com-mario-sergio-cortella__111282,Instituto Provavi,sympla,PALESTRA COM MARIO SERGIO CORTELLA 
belo-horizonte-mg,https://www.sympla.com.br/ws-dia-diagramas-e-representacao-arquitetonica__116615,Ingressos,sympla,WS DIA: Diagramas e Representação Arquitetônica
