city,link,name,location,eventName
sao-paulo-sp,https://www.sympla.com.br/aula-the-school-of-life-sp---como-pensar-com-a-mente-de-um-empreendedor__113310,The School of Life,sympla,Aula The School of LIfe SP - Como Pensar com a Mente de um Empreendedor 
sao-paulo-sp,https://www.sympla.com.br/hackers-da-produtividade__113385,Daniel Hollander Silva,sympla,Hackers da Produtividade
sao-paulo-sp,https://www.sympla.com.br/curso-de-midias-sociais--sao-paulo__109495,Skillup,sympla,Curso de Mídias Sociais | São Paulo
sao-paulo-sp,https://www.sympla.com.br/ldrv-party__113866,Anexo B,sympla,LDRV Party
sao-paulo-sp,https://www.sympla.com.br/vivencia-em-teatro-arco-iris-do-desejo---turma-3__113831,Eduardo Dechichi,sympla,Vivência em Teatro Arco Iris do Desejo - Turma 3 
sao-paulo-sp,https://www.sympla.com.br/palestra-como-prosperar-em-tempos-de-crise---mestre-oyun__114130,Dra. Paula Hayashi,sympla,Palestra "Como Prosperar Em Tempos De Crise" - MESTRE OYUN
sao-paulo-sp,https://www.sympla.com.br/como-tirar-sua-ideia-do-papel__113730,Oxigênio Aceleradora,sympla,Como tirar sua ideia do papel
sao-paulo-sp,https://www.sympla.com.br/pre-venda-do-album-carvao-de-paulo-carvalho__114125,Paulo Carvalho,sympla,Pré-Venda do álbum CARVÃO de Paulo Carvalho
sao-paulo-sp,https://www.sympla.com.br/party-of-legends-carnalol__109953,Party of Legends,sympla,Party of Legends CarnaLoL
sao-paulo-sp,https://www.sympla.com.br/gestao-estrategica-da-tesouraria__114751,Propagar Training,sympla,Gestão Estratégica da Tesouraria
sao-paulo-sp,https://www.sympla.com.br/bad-trip-6-com-menor-da-vg-e-dj-r7__114802,BadTrip,sympla,Bad Trip #6 com Menor da Vg e Dj R7
sao-paulo-sp,https://www.sympla.com.br/evento-especial-tsol-sp---mini-retiro-de-mindfulness-na-cidade__114916,The School of Life,sympla,Evento Especial TSOL SP - Mini Retiro de Mindfulness na Cidade  
sao-paulo-sp,https://www.sympla.com.br/negociacao-gestao-de-conflitos-relacionamentos-e-um-unico-segredo-a-comunicacao__115143,Patrícia Sakavicius,sympla,Negociação, gestão de conflitos, relacionamentos e um único segredo: a comunicação
sao-paulo-sp,https://www.sympla.com.br/gestao-da-patente-protecao-redacao-e-monitoramento-estrategico__115003,ANPEI | Educanpei ,sympla,GESTÃO DA PATENTE: PROTEÇÃO; REDAÇÃO E MONITORAMENTO ESTRATÉGICO
sao-paulo-sp,https://www.sympla.com.br/contratos-de-tecnologia__115289,ANPEI | Educanpei ,sympla,CONTRATOS DE TECNOLOGIA 
sao-paulo-sp,https://www.sympla.com.br/esquenta-agile-trends---agile-em-grandes-empresas__112758,Agile Trends,sympla,Esquenta Agile Trends - Agile em Grandes Empresas
sao-paulo-sp,https://www.sympla.com.br/esquenta-agile-trends---devops__112756,Agile Trends,sympla,Esquenta Agile Trends - DevOps
sao-paulo-sp,https://www.sympla.com.br/voce-e-luz-e-raio-estrela-e-luar-sao-paulo__115013,Go, writers,sympla,Você é luz, é raio, estrela e luar. São Paulo. 
sao-paulo-sp,https://www.sympla.com.br/esquenta-agile-trends---show-me-your-board__112761,Inscrição,sympla,Esquenta Agile Trends - Show Me Your Board
sao-paulo-sp,https://www.sympla.com.br/ldrv-party__113866,Anexo B,sympla,LDRV Party
sao-paulo-sp,https://www.sympla.com.br/vivencia-em-teatro-arco-iris-do-desejo---turma-3__113831,Eduardo Dechichi,sympla,Vivência em Teatro Arco Iris do Desejo - Turma 3 
sao-paulo-sp,https://www.sympla.com.br/palestra-como-prosperar-em-tempos-de-crise---mestre-oyun__114130,Dra. Paula Hayashi,sympla,Palestra "Como Prosperar Em Tempos De Crise" - MESTRE OYUN
sao-paulo-sp,https://www.sympla.com.br/como-tirar-sua-ideia-do-papel__113730,Oxigênio Aceleradora,sympla,Como tirar sua ideia do papel
sao-paulo-sp,https://www.sympla.com.br/pre-venda-do-album-carvao-de-paulo-carvalho__114125,Paulo Carvalho,sympla,Pré-Venda do álbum CARVÃO de Paulo Carvalho
